pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
55 Cnc e,1.915,0.214,-0.214,0,2657.83,,,0,5250.00,147.60,-147.60,0
AU Mic b,4.027,0.212,-0.212,0,76.64,,,0,3588.00,87.00,-87.00,0
CoRoT-1 b,20.594,,,0,2852.63,,,0,5950.00,,,0
CoRoT-12 b,17.760,1.228,-1.228,0,661.13,,,0,5675.00,,,0
CoRoT-13 b,12.533,1.700,-1.700,0,546.53,,,0,5945.00,,,0
CoRoT-18 b,15.050,0.533,-0.533,0,823.70,,,0,5440.00,,,0
CoRoT-19 b,13.493,0.715,-0.715,0,1103.81,,,0,6090.00,,,0
CoRoT-2 b,16.923,1.717,-1.717,0,932.91,,,0,5529.00,105.52,-105.52,0
CoRoT-20 b,15.397,1.328,-1.328,0,180.87,,,0,5880.00,,,0
CoRoT-4 b,13.437,0.485,-0.485,0,203.95,,,0,6190.00,,,0
CoRoT-5 b,18.383,2.505,-2.505,0,786.29,,,0,6100.00,,,0
CoRoTID 223977153 b,6.389,0.673,-0.560,0,132.26,36.74,-29.39,0,5970.00,100.00,-100.00,0
DS Tuc A b,6.496,0.497,-0.497,0,115.83,,,0,5414.00,161.00,-161.00,0
EPIC 211822797 b,1.980,0.110,-0.110,0,3.50,0.50,-0.50,0,4148.21,82.41,-80.21,0
EPIC 211945201 b,5.507,0.256,-0.256,0,31.91,,,0,6128.00,124.10,-124.10,0
EPIC 220674823 b,1.725,0.039,-0.039,0,4670.00,300.00,-300.00,0,5532.00,62.00,-62.00,0
EPIC 220674823 b,1.820,0.200,-0.140,0,4293.00,483.00,-483.00,0,5496.00,46.00,-46.00,0
EPIC 220674823 c,2.836,0.086,-0.073,0,70.00,4.50,-4.50,0,5532.00,62.00,-62.00,0
EPIC 220674823 c,2.770,0.370,-0.230,0,64.00,7.00,-7.00,0,5496.00,46.00,-46.00,0
EPIC 246851721 b,11.781,0.493,-0.493,0,642.00,30.00,-29.00,0,6202.00,52.00,-50.00,0
EPIC 246851721 b,13.274,0.845,-0.845,0,519.97,,,0,6513.00,132.80,-132.80,0
EPIC 248847494 b,12.442,0.785,-0.785,0,0.19,0.12,-0.07,0,4898.00,68.00,-68.00,0
EPIC 249893012 b,1.950,0.090,-0.080,0,1037.00,482.00,-207.00,0,5430.00,85.00,-85.00,0
EPIC 249893012 c,3.670,0.170,-0.140,0,160.00,68.00,-29.00,0,5430.00,85.00,-85.00,0
EPIC 249893012 d,3.940,0.130,-0.120,0,53.00,23.00,-10.00,0,5430.00,85.00,-85.00,0
G 9-40 b,2.061,0.062,-0.062,0,4.00,,,0,3413.00,157.00,-157.00,0
G 9-40 b,2.025,0.096,-0.097,0,7.20,2.50,-2.20,0,3348.00,32.00,-32.00,0
GJ 1132 b,1.215,0.158,-0.158,0,20.96,,,0,3202.00,,,0
GJ 1214 b,2.742,0.050,-0.053,0,21.00,2.70,-2.50,0,3250.00,100.00,-100.00,0
