loc_rowid,pl_name,sy_snum,sy_pnum,sy_mnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_eqt,st_teff,st_logg,sy_dist
109,55 Cnc e,2,5,0,2004,0.73654370,0.015440,2.080,7.81000,4.78000,1958,5234.00,4.45,12.5855000
167,BD+20 594 b,1,1,0,2016,41.68550000,0.241000,2.230,16.30000,7.89000,546,5766.00,4.50,179.4610000
201,CoRoT-1 b,1,1,0,2008,1.50897655,0.025900,15.917,340.07810,0.44000,1834,5950.00,4.25,787.9090000
202,CoRoT-1 b,1,1,0,2008,1.50896860,0.025360,17.385,327.36490,0.34400,1915,5950.00,4.31,787.9090000
207,CoRoT-10 b,1,1,0,2010,13.24060000,0.106000,10.548,883.56740,4.16000,647,5075.00,4.65,338.3860000
209,CoRoT-10 b,1,1,0,2010,13.24060000,0.105500,10.870,874.00000,3.70000,600,5075.00,4.65,338.3860000
210,CoRoT-11 b,1,1,0,2010,2.99433000,0.044000,15.984,743.72220,1.00000,1735,6440.00,4.26,655.0370000
214,CoRoT-11 b,1,1,0,2010,2.99433000,0.043600,16.030,740.51000,0.99000,1657,6440.00,4.22,655.0370000
215,CoRoT-12 b,1,1,0,2010,2.82804200,0.040160,16.140,291.43800,0.41100,1442,5675.00,4.38,1126.3700000
219,CoRoT-12 b,1,1,0,2010,2.82804200,0.039400,15.132,281.91521,0.44800,1410,5675.00,4.41,1126.3700000
221,CoRoT-13 b,1,1,0,2010,4.03519000,0.051000,9.920,415.70400,2.34000,1700,5945.00,4.46,1148.9300000
224,CoRoT-13 b,1,1,0,2010,4.03519000,0.051000,14.034,416.99296,0.82000,1432,5945.00,4.26,1148.9300000
226,CoRoT-14 b,1,1,0,2010,1.51214000,0.027000,12.220,2415.40000,7.30000,1952,6035.00,4.35,1744.6000000
227,CoRoT-14 b,1,1,0,2010,1.51214000,0.026870,11.411,2437.75610,9.00000,1936,6035.00,4.34,1744.6000000
232,CoRoT-17 b,1,1,0,2011,3.76810000,0.048100,11.287,781.86180,3.00580,1610,5740.00,4.04,1176.1200000
233,CoRoT-17 b,1,1,0,2011,3.76810000,0.046100,11.430,772.29000,2.82000,1626,5740.00,4.40,1176.1200000
