pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_rade
WASP-79,b,Transit,3.6623866,0.0535,0,0.9,2.7797,83.3,,66.370903,-30.600445,240,,6600,1.38,1.53,,,23.427
TrES-4,b,Transit,3.553945,0.05091,0,0.919,0.209,82.86,,268.304407,37.211769,492,11.592,6200,1.4,1.85,,,20.165
WASP-12,b,Transit,1.091423,0.0229,0.049,1.41,0.24,83.1,,97.63664,29.672291,,,6300,1.35,1.57,,,20.1
HAT-P-32,b,Transit,2.150008,0.0343,0,0.86,0.19,88.9,,31.042848,46.687836,283,,6207,1.16,1.22,,,20.053
WASP-17,b,Transit,3.7354417,0.051,0.129,0.49,0.122,87.8,,239.962306,-28.061733,400,,6550,1.2,1.38,,,19.5
HAT-P-40,b,Transit,4.457243,0.0608,0,0.615,0.15,88.3,,335.512848,45.457378,501,,6080,1.51,2.21,,,19.392
WASP-78,b,Transit,2.17517632,0.0362,0,0.89,0.2394,83.2,,63.756241,-22.116434,550,,6100,1.17,1.6,,,19.055
Kepler-12,b,Transit,4.4379637,0.0556,0.01,0.431,0.111,88.76,0,286.243425,50.040382,600,,5947,1.17,1.48,,,18.999
HAT-P-33,b,Transit,3.474474,0.0499,0,0.762,0.2,87.2,,113.184212,33.835052,387,,6446,1.38,1.64,,,18.898
HAT-P-41,b,Transit,2.694047,0.0426,0,0.8,0.2,87.7,,297.322662,4.672421,344,,6390,1.42,1.68,,,18.887
WASP-48,b,Transit,2.143634,0.03444,0,0.98,0.279,80.09,,291.16233,55.47316,,,5920,1.19,1.75,,,18.719
OGLE2-TR-L9,b,Transit,2.4855335,0.0308,,4.5,,79.8,,166.979921,-61.146263,,,6933,1.52,1.53,,,18.046
HAT-P-39,b,Transit,3.54387,0.0509,0,0.599,0.19,87,,113.758247,17.830082,642,,6430,1.4,1.62,,,17.609
WASP-31,b,Transit,3.4059096,0.04659,0,0.478,0.172,84.41,,169.439021,-19.054773,360,,6302,1.16,1.25,,,17.363
HAT-P-8,b,Transit,3.0763402,0.0487,0,1.52,0.568,87.5,,343.041067,35.447109,230,,6200,1.28,1.58,,,16.8
WASP-33,b,Transit,1.2198669,0.02555,,4.1,,87.67,,36.712746,37.550484,116.14,8.142,7430,1.5,1.44,HD 15082,HIP 11397,16.78
CoRoT-1,b,Transit,1.5089557,0.0254,0,1.03,0.38,85.1,,102.079885,-3.102147,,,5950,0.95,1.11,,,16.701
