# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Apr 12 09:35:19 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbperstr > 0
# CONSTRAINT:  and pl_orbeccenstr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
#
pl_name,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim
HD 160691 b,Radial Velocity,2000,646.48500000,1.50000000,-1.50000000,0,0.000100,0.050000,-0.050000,0
KOI-13 b,Transit,2011,1.76358803,0.00000037,-0.00000037,0,0.000160,0.000040,-0.000040,0
TrES-2 b,Transit,2006,2.47061320,0.00000010,-0.00000010,0,0.000200,0.001000,-0.000200,0
MASCARA-1 b,Transit,2017,2.14877381,0.00000088,-0.00000087,0,0.000340,0.000340,-0.000230,0
KOI-13 b,Transit,2011,1.76358800,0.00000100,-0.00000100,0,0.000640,0.000120,-0.000160,0
KELT-11 b,Transit,2017,4.73610000,0.00003000,-0.00003000,0,0.000700,0.002000,-0.000500,0
BD+15 2375 b,Radial Velocity,2016,153.22000000,0.44000000,-0.44000000,0,0.001000,0.250000,-0.001000,0
Kepler-82 f,Transit Timing Variations,2019,75.73200000,0.01200000,-0.01200000,0,0.001400,0.001800,-0.001000,0
HAT-P-7 b,Transit,2008,2.20473720,0.00000110,-0.00000110,0,0.001600,0.003400,-0.001000,0
PSR J2322-2650 b,Pulsar Timing,2017,0.32296400,0.00000001,-0.00000001,0,0.001700,,,1
GJ 876 b,Radial Velocity,1998,61.03474000,0.00080000,-0.00084000,0,0.002000,0.001900,-0.001400,0
HAT-P-22 b,Transit,2010,3.21222000,0.00000900,-0.00000900,0,0.002000,,,1
WASP-19 b,Transit,2009,0.78883899,0.00000004,-0.00000004,0,0.002000,0.014000,-0.002000,0
WASP-80 b,Transit,2012,3.06785234,0.00000083,-0.00000079,0,0.002000,0.010000,-0.002000,0
TOI-1431 b,Transit,2021,2.65023700,0.00000300,-0.00000300,0,0.002200,0.003000,-0.001600,0
55 Cnc b,Radial Velocity,1996,14.46531400,0.00090000,-0.00095000,0,0.002300,0.002500,-0.001600,0
TrES-2 b,Transit,2006,2.47061337,0.00000002,-0.00000002,0,0.002800,,,1
WASP-47 b,Transit,2012,4.16071000,0.00038000,-0.00038000,0,0.002800,0.004200,-0.002000,0
Kepler-25 b,Transit,2011,6.23829700,0.00001700,-0.00001700,0,0.002900,0.002300,-0.001700,0
Kepler-11 d,Transit,2010,22.68440000,0.00110000,-0.00110000,0,0.003000,0.007000,-0.003000,0
WASP-151 b,Transit,2017,4.53347100,0.00000400,-0.00000400,0,0.003000,,,1
WASP-3 b,Transit,2007,1.84683550,0.00000070,-0.00000070,0,0.003000,0.013000,-0.002000,0
Kepler-82 b,Transit,2012,26.44000000,0.48000000,-0.48000000,0,0.003300,0.001900,-0.000170,0
WASP-4 b,Transit,2007,1.33823162,0.00000007,-0.00000007,0,0.003300,,,1
55 Cnc b,Radial Velocity,1996,14.65152000,0.00015000,-0.00015000,0,0.003400,0.003200,-0.003200,0
KELT-1 b,Transit,2012,1.21749400,0.00000400,-0.00000400,0,0.003700,0.008000,-0.002800,0
Kepler-412 b,Transit,2014,1.72086123,0.00000005,-0.00000005,0,0.003800,0.008700,-0.003200,0
HD 189733 b,Radial Velocity,2005,2.21857520,0.00000008,-0.00000008,0,0.003900,,,1
WASP-26 b,Transit,2010,2.75659720,0.00000190,-0.00000190,0,0.003900,,,1
XO-4 b,Transit,2008,4.12508230,0.00000390,-0.00000390,0,0.003900,,,1
55 Cnc b,Radial Velocity,1996,14.65100000,0.00010000,-0.00010000,0,0.004000,0.003000,-0.003000,0
HAT-P-7 b,Transit,2008,2.20473700,0.00001700,-0.00001700,0,0.004000,,,1
HD 187123 b,Radial Velocity,1998,3.09659710,0.00000230,-0.00000220,0,0.004000,0.004000,-0.002800,0
Kepler-11 d,Transit,2010,22.68450000,0.00090000,-0.00090000,0,0.004000,0.007000,-0.002000,0
WASP-32 b,Transit,2010,2.71865910,0.00000240,-0.00000240,0,0.004000,,,1
51 Peg b,Radial Velocity,1995,4.23079690,0.00000730,-0.00000780,0,0.004200,0.004600,-0.003000,0
TOI-216.01,Transit,2019,34.52552800,,,0,0.004600,0.002700,-0.001200,0
WASP-19 b,Transit,2009,0.78884000,0.00000030,-0.00000030,0,0.004600,0.004400,-0.002800,0
WASP-24 b,Transit,2010,2.34122170,0.00000080,-0.00000080,0,0.004600,,,1
55 Cnc b,Radial Velocity,1996,14.65171000,0.00005300,-0.00005200,0,0.004800,0.003600,-0.003100,0
47 UMa c,Radial Velocity,2001,7586.00000000,727.00000000,-727.00000000,0,0.005000,,,0
Kepler-11 f,Transit,2010,46.68707000,0.00410000,-0.00593000,0,0.005000,0.010000,-0.004000,0
WASP-18 b,Transit,2009,0.94145223,0.00000024,-0.00000024,0,0.005100,0.007000,-0.003700,0
WASP-3 b,Transit,2007,1.84683510,0.00000040,-0.00000040,0,0.005800,,,1
HAT-P-8 b,Transit,2008,3.07634580,0.00000240,-0.00000240,0,0.006000,,,1
KOI-984 b,Transit,2022,4.28817850,0.00000350,-0.00000350,0,0.006000,0.002000,-0.002000,0
Kepler-138 b,Transit,2014,10.31368000,0.00018000,-0.00022000,0,0.006000,0.008200,-0.004400,0
WASP-47 d,Transit,2015,9.09500000,0.01400000,-0.01400000,0,0.006000,0.009800,-0.004100,0
XO-2 N b,Transit,2007,2.61585922,0.00000028,-0.00000028,0,0.006000,,,1
