pl_name,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
PSR B1257+12 b,Pulsar Timing,25.26200000,0.00300000,-0.00300000,0,0.02000,0.00200,-0.00200,0
Kepler-138 b,Transit,10.31260000,0.00040000,-0.00060000,0,0.06600,0.05900,-0.03700,0
Kepler-138 b,Transit,10.31340000,0.00030000,-0.00030000,0,0.07000,0.02000,-0.02000,0
Kepler-444 e,Transit,7.74300000,,,0,0.10000,0.20000,-0.10000,0
Kepler-138 b,Transit,10.31368000,0.00018000,-0.00022000,0,0.18700,0.05000,-0.05000,0
Kepler-444 d,Transit,6.18900000,,,0,0.20000,0.50000,-0.10000,0
TRAPPIST-1 h,Transit,18.77286600,0.00021400,-0.00021400,0,0.32600,0.02000,-0.02000,0
LHS 1678 b,Transit,0.86023220,0.00000680,-0.00000680,0,0.35000,,,1
TRAPPIST-1 d,Transit,4.04921900,0.00002600,-0.00002600,0,0.38800,0.01200,-0.01200,0
Kepler-33 c,Transit,13.17600000,,,0,0.39000,1.24000,-0.32000,0
L 98-59 b,Transit,2.25311360,0.00000120,-0.00000150,0,0.40000,0.16000,-0.15000,0
TRAPPIST-1 d,Transit,4.04961000,0.00006300,-0.00006300,0,0.41000,0.27000,-0.27000,0
Kepler-138 e,Transit Timing Variations,38.23000000,0.00600000,-0.00600000,0,0.43000,0.21000,-0.10000,0
KOI-55 b,Orbital Brightness Modulation,0.24010400,0.00000400,-0.00000400,0,0.44000,,,0
Kepler-138 b,Transit,10.31200000,,,0,0.50000,0.30000,-0.20000,0
Kepler-345 b,Transit,7.41600000,,,0,0.50000,0.30000,-0.30000,0
GJ 367 b,Transit,0.32196200,0.00001000,-0.00001200,0,0.54600,0.07800,-0.07800,0
HD 23472 d,Transit,3.97664000,0.00003000,-0.00004400,0,0.55000,0.21000,-0.20000,0
Kepler-85 e,Transit,25.21500000,,,0,0.60000,0.50000,-0.40000,0
TRAPPIST-1 e,Transit,6.09961500,0.00001100,-0.00001100,0,0.62000,0.58000,-0.58000,0
Kepler-138 d,Transit,23.08810000,0.00090000,-0.00080000,0,0.64000,0.67400,-0.38700,0
KOI-55 c,Orbital Brightness Modulation,0.34288700,0.00001300,-0.00001300,0,0.65500,,,0
TRAPPIST-1 f,Transit,9.20669000,0.00001500,-0.00001500,0,0.68000,0.18000,-0.18000,0
TRAPPIST-1 e,Transit,6.10101300,0.00003500,-0.00003500,0,0.69200,0.02200,-0.02200,0
HD 23472 e,Transit,7.90754000,0.00011000,-0.00011000,0,0.72000,0.28000,-0.27000,0
HD 23472 f,Transit,12.16218390,0.00012000,-0.00009900,0,0.77000,0.44000,-0.40000,0
Kepler-128 b,Transit,15.09000000,,,0,0.77000,0.48000,-0.25000,0
GJ 9827 c,Transit,3.64809570,0.00006330,-0.00006210,0,0.84000,,,0
TRAPPIST-1 b,Transit,1.51087081,0.00000060,-0.00000060,0,0.85000,0.72000,-0.72000,0
Kepler-128 c,Transit,22.80400000,,,0,0.90000,0.58000,-0.29000,0
Kepler-138 d,Transit,23.08933000,0.00071000,-0.00071000,0,1.01000,0.42000,-0.34000,0
L 98-59 b,Transit,2.25310000,0.00040000,-0.00040000,0,1.01000,,,1
TRAPPIST-1 f,Transit,9.20754000,0.00003200,-0.00003200,0,1.03900,0.03100,-0.03100,0
Kepler-138 d,Transit,23.09302000,0.00069000,-0.00092000,0,1.17000,0.30000,-0.30000,0
GJ 3929 b,Transit,2.61627450,0.00000290,-0.00000300,0,1.21000,0.40000,-0.42000,0
TRAPPIST-1 c,Transit,2.42193700,0.00001800,-0.00001800,0,1.30800,0.05600,-0.05600,0
GJ 1252 b,Transit,0.51824160,0.00000069,-0.00000069,0,1.32000,0.28000,-0.28000,0
TRAPPIST-1 g,Transit,12.35244600,0.00005400,-0.00005400,0,1.32100,0.03800,-0.03800,0
TRAPPIST-1 g,Transit,12.35294000,0.00012000,-0.00012000,0,1.34000,0.88000,-0.88000,0
TRAPPIST-1 b,Transit,1.51082600,0.00000600,-0.00000600,0,1.37400,0.06900,-0.06900,0
TRAPPIST-1 c,Transit,2.42182330,0.00000170,-0.00000170,0,1.38000,0.61000,-0.61000,0
LHS 1678 c,Transit,3.69424700,0.00000240,-0.00000210,0,1.40000,,,1
TOI-500 b,Transit,0.54817700,0.00001900,-0.00001900,0,1.42000,0.18000,-0.18000,0
GJ 9827 c,Transit,3.64823000,0.00012000,-0.00012000,0,1.45000,0.58000,-0.57000,0
Kepler-307 c,Transit,13.08400000,,,0,1.50000,0.50000,-0.40000,0
TOI-178 b,Transit,1.91455800,0.00001800,-0.00001800,0,1.50000,0.39000,-0.44000,0
LTT 1445 A c,Transit,3.12390350,0.00000340,-0.00000360,0,1.54000,0.20000,-0.19000,0
TOI-270 b,Transit,3.36015380,0.00000480,-0.00000480,0,1.58000,0.26000,-0.26000,0
TOI-561 b,Transit,0.44657800,0.00001700,-0.00001700,0,1.59000,0.36000,-0.36000,0
Kepler-138 c,Transit,13.78100000,,,0,1.60000,2.40000,-0.80000,0
GJ 1132 b,Transit,1.62893000,0.00003100,-0.00003100,0,1.62000,0.55000,-0.55000,0
GJ 1132 b,Transit,1.62892870,0.00000180,-0.00000180,0,1.63000,0.54000,-0.54000,0
K2-138 f,Transit,12.75758000,0.00050000,-0.00048000,0,1.63000,2.12000,-1.18000,0
GJ 1132 b,Transit,1.62893100,0.00002700,-0.00002700,0,1.66000,0.23000,-0.23000,0
Kepler-78 b,Transit,0.35500744,0.00000006,-0.00000006,0,1.69000,0.41000,-0.41000,0
Kepler-11 f,Transit,46.68600000,,,0,1.70000,0.50000,-0.40000,0
GJ 3929 b,Transit,2.61623500,0.00000500,-0.00000500,0,1.75000,0.44000,-0.45000,0
LHS 1140 c,Transit,3.77792000,0.00003000,-0.00003000,0,1.76000,0.17000,-0.16000,0
Kepler-78 b,Transit,0.35500000,,,0,1.77000,0.24000,-0.25000,0
K2-3 d,Transit,44.55764000,0.00042000,-0.00042000,0,1.80000,,,1
LHS 1140 c,Transit,3.77793100,0.00000300,-0.00000300,0,1.81000,0.39000,-0.39000,0
GJ 357 b,Transit,3.93072000,0.00008000,-0.00006000,0,1.84000,0.31000,-0.31000,0
GJ 3473 b,Transit,1.19800350,0.00000180,-0.00000190,0,1.86000,0.30000,-0.30000,0
Kepler-78 b,Transit,0.35500000,0.00040000,-0.00040000,0,1.86000,0.38000,-0.25000,0
Kepler-78 b,Transit,0.35500744,0.00000006,-0.00000006,0,1.87000,0.27000,-0.26000,0
Kepler-11 b,Transit,10.30390000,0.00060000,-0.00100000,0,1.90000,1.40000,-1.00000,0
Kepler-307 c,Transit,13.08400000,,,0,1.90000,1.60000,-1.00000,0
L 98-59 d,Transit,7.45072450,0.00000810,-0.00000460,0,1.94000,0.28000,-0.28000,0
Kepler-78 b,Transit,0.35500744,0.00000006,-0.00000006,0,1.96716,0.53449,-0.53449,0
Kepler-138 c,Transit,13.78130000,0.00010000,-0.00010000,0,1.97000,1.91200,-1.12000,0
Kepler-11 f,Transit,46.68707000,0.00410000,-0.00593000,0,1.98000,1.25000,-1.10000,0
Kepler-11 f,Transit,46.68880000,0.00270000,-0.00320000,0,2.00000,0.80000,-0.90000,0
Kepler-177 b,Transit,36.85500000,,,0,2.00000,0.50000,-0.30000,0
Kepler-60 c,Transit,8.91900000,,,0,2.00000,0.30000,-0.50000,0
TOI-561 b,Transit,0.44656880,0.00000070,-0.00000080,0,2.00000,0.23000,-0.23000,0
Kepler-1972 b,Transit,7.54425000,0.00054000,-0.00054000,0,2.02000,0.56000,-0.62000,0
Kepler-68 c,Transit,9.60510000,,,0,2.04000,1.72000,-1.78000,0
Kepler-47 b,Transit,49.46430000,0.00810000,-0.00740000,0,2.07000,23.70000,-2.07000,0
GJ 1252 b,Transit,0.51823490,0.00000630,-0.00000500,0,2.09000,0.56000,-0.56000,0
Kepler-11 c,Transit,13.02426000,0.00060000,-0.00064000,0,2.09000,2.20000,-1.55000,0
K2-3 c,Transit,24.64910000,0.00330000,-0.00330000,0,2.10000,2.10000,-1.30000,0
K2-32 e,Transit,4.34934000,0.00039000,-0.00039000,0,2.10000,1.30000,-1.10000,0
Kepler-138 d,Transit,23.09230000,0.00060000,-0.00060000,0,2.10000,0.60000,-0.70000,0
Kepler-307 b,Transit,10.41600000,,,0,2.10000,1.10000,-0.80000,0
Kepler-51 b,Transit,45.15400000,0.00020000,-0.00020000,0,2.10000,1.50000,-0.80000,0
Kepler-80 e,Transit,4.64500000,,,0,2.10000,0.70000,-0.70000,0
Kepler-1972 c,Transit,11.32950000,0.00110000,-0.00110000,0,2.11000,0.59000,-0.65000,0
HD 260655 b,Transit,2.76953000,0.00003000,-0.00003000,0,2.14000,0.34000,-0.34000,0
K2-3 c,Transit,24.64658200,0.00004100,-0.00004000,0,2.14000,1.08000,-1.04000,0
Kepler-11 b,Transit,10.30448000,0.00002000,-0.00002000,0,2.18000,1.68000,-1.01000,0
Kepler-345 c,Transit,9.38700000,,,0,2.20000,0.90000,-0.90000,0
LTT 1445 A b,Transit,5.35882000,0.00030000,-0.00031000,0,2.20000,1.70000,-2.10000,0
TOI-1266 c,Transit,18.80151000,0.00067000,-0.00069000,0,2.20000,2.00000,-1.50000,0
L 98-59 c,Transit,3.69067770,0.00000160,-0.00000260,0,2.22000,0.26000,-0.25000,0
KOI-1831 d,Transit,34.16900000,,,0,2.23000,0.50000,-0.84000,0
TOI-561 b,Transit,0.44656880,0.00000080,-0.00000080,0,2.24000,0.20000,-0.20000,0
Kepler-11 f,Transit,46.68876000,0.00074000,-0.00074000,0,2.30000,2.20000,-1.20000,0
Kepler-138 c,Transit,13.78150000,0.00007000,-0.00009000,0,2.30000,0.60000,-0.50000,0
Kepler-51 b,Transit,45.15500000,,,0,2.30000,1.70000,-1.60000,0
L 98-59 d,Transit,7.45120000,0.00070000,-0.00070000,0,2.31000,0.46000,-0.45000,0
LHS 1478 b,Transit,1.94953780,0.00000400,-0.00000410,0,2.33000,0.20000,-0.20000,0
LTT 3780 b,Transit,0.76837700,0.00000140,-0.00000140,0,2.34000,0.24000,-0.23000,0
GJ 9827 d,Transit,6.20142000,0.00013000,-0.00013000,0,2.35000,0.70000,-0.68000,0
Kepler-65 b,Transit,2.15492090,0.00000860,-0.00000740,0,2.40000,2.40000,-1.60000,0
GJ 9827 c,Transit,3.64808300,0.00006000,-0.00005800,0,2.42000,0.75000,-0.49000,0
L 98-59 c,Transit,3.69040000,0.00030000,-0.00030000,0,2.42000,0.35000,-0.34000,0
K2-229 b,Transit,0.58400000,,,0,2.49000,0.42000,-0.43000,0
Kepler-11 f,Transit,46.68600000,,,0,2.50000,2.80000,-2.30000,0
TOI-1064 c,Transit,12.22657400,0.00004600,-0.00004300,0,2.50000,1.80000,-2.00000,0
TOI-1807 b,Transit,0.54937400,0.00001000,-0.00001300,0,2.57000,0.50000,-0.50000,0
K2-229 b,Transit,0.58424900,0.00001400,-0.00001400,0,2.59000,0.43000,-0.43000,0
Kepler-93 b,Transit,4.72674000,,,0,2.59000,2.00000,-2.00000,0
Kepler-102 d,Transit,10.31200000,,,0,2.60000,1.30000,-1.10000,0
LTT 3780 b,Transit,0.76844800,0.00005500,-0.00005300,0,2.62000,0.48000,-0.46000,0
Kepler-359 d,Transit,77.08300000,,,0,2.70000,2.50000,-1.50000,0
Kepler-406 c,Transit,4.62332000,,,0,2.71000,1.80000,-1.80000,0
HD 191939 d,Transit,38.35303700,0.00006000,-0.00006000,0,2.80000,0.60000,-0.60000,0
Kepler-114 c,Transit,8.04100000,,,0,2.80000,0.60000,-0.60000,0
K2-3 d,Transit,44.55646000,0.00011000,-0.00010000,0,2.80007,,,1
GJ 486 b,Radial Velocity,1.46711900,0.00003100,-0.00003000,0,2.82000,0.11000,-0.12000,0
LTT 1445 A b,Transit,5.35876570,0.00000430,-0.00000420,0,2.87000,0.26000,-0.25000,0
Kepler-11 c,Transit,13.02410000,0.00130000,-0.00080000,0,2.90000,2.90000,-1.60000,0
Kepler-359 c,Transit,57.69300000,,,0,2.90000,2.40000,-1.90000,0
K2-136 d,Transit,25.57500000,0.00240000,-0.00230000,0,3.00000,,,1
Kepler-100 d,Transit,35.33310000,,,0,3.00000,,,1
Kepler-102 c,Transit,7.07142000,,,0,3.00000,,,1
Kepler-105 c,Transit,7.12600000,,,0,3.00000,9.20000,-2.00000,0
TOI-178 d,Transit,6.55770000,0.00001600,-0.00001600,0,3.01000,0.80000,-1.03000,0
TOI-431 b,Transit,0.49004700,0.00001000,-0.00000700,0,3.07000,0.35000,-0.35000,0
Kepler-20 e,Transit,6.09849300,0.00006500,-0.00006500,0,3.08000,,,1
HD 260655 c,Transit,5.70588000,0.00007000,-0.00007000,0,3.09000,0.48000,-0.48000,0
K2-138 b,Transit,2.35309000,0.00022000,-0.00022000,0,3.10000,1.05000,-1.05000,0
K2-3 c,Transit,24.64638000,0.00017000,-0.00017000,0,3.10000,1.30000,-1.20000,0
Kepler-307 b,Transit,10.41600000,,,0,3.10000,0.60000,-0.50000,0
Kepler-47 c,Transit,303.22700000,0.06200000,-0.02700000,0,3.17000,2.18000,-1.25000,0
Kepler-37 b,Transit,13.36731000,0.00007100,-0.00007100,0,3.17830,3.17830,-3.17830,0
Kepler-254 c,Transit,12.41200000,,,0,3.20000,3.70000,-2.70000,0
Kepler-407 b,Transit,0.66931000,,,0,3.20000,,,1
TOI-561 b,Transit,0.44657300,0.00003200,-0.00002100,0,3.20000,0.80000,-0.80000,0
TOI-1468 b,Transit,1.88051360,0.00000240,-0.00000260,0,3.21000,0.24000,-0.24000,0
Kepler-10 b,Transit,0.83750100,0.00000500,-0.00000400,0,3.24000,0.28000,-0.28000,0
Kepler-595 c,Transit,12.38602000,0.00000500,-0.00000500,0,3.30000,1.70000,-1.00000,0
Kepler-10 b,Transit,0.83749070,0.00000020,-0.00000020,0,3.33000,0.49000,-0.49000,0
GJ 3090 b,Transit,2.85313600,0.00006400,-0.00003800,0,3.34000,0.72000,-0.72000,0
Kepler-79 e,Transit,81.06400000,,,0,3.40000,1.00000,-0.80000,0
HD 23472 c,Transit,29.79749000,0.00013000,-0.00014000,0,3.41000,0.88000,-0.81000,0
GJ 9827 b,Transit,1.20898020,0.00000840,-0.00000810,0,3.42000,1.20000,-0.76000,0
TOI-1685 b,Transit,0.66914160,0.00000190,-0.00000190,0,3.43000,0.93000,-0.93000,0
Kepler-414 b,Transit Timing Variations,4.70000000,,,0,3.50000,3.40000,-2.90000,0
Kepler-107 b,Transit,3.18002180,0.00000290,-0.00000290,0,3.51000,1.52000,-1.52000,0
Kepler-97 b,Transit,2.58664000,,,0,3.51000,1.90000,-1.90000,0
Kepler-98 b,Transit,1.54168000,,,0,3.55000,1.60000,-1.60000,0
Kepler-10 b,Transit,0.83700000,,,0,3.57000,0.51000,-0.53000,0
Kepler-105 c,Transit,7.12600000,,,0,3.60000,1.30000,-1.30000,0
pi Men c,Transit,6.26785200,0.00001600,-0.00001600,0,3.63000,0.38000,-0.38000,0
Kepler-307 c,Transit,13.07290000,0.00120000,-0.00120000,0,3.64000,0.65000,-0.58000,0
GJ 9827 b,Transit,1.20896600,0.00001200,-0.00001200,0,3.69000,0.48000,-0.46000,0
Kepler-51 b,Transit,45.15420000,0.00030000,-0.00030000,0,3.69000,1.86000,-1.59000,0
HD 21749 c,Transit,7.78993000,0.00051000,-0.00044000,0,3.70000,,,1
Kepler-60 b,Transit,7.13300000,,,0,3.70000,0.60000,-0.60000,0
Kepler-80 d,Transit,3.07200000,,,0,3.70000,0.80000,-0.60000,0
Kepler-10 b,Transit,0.83749070,0.00000020,-0.00000020,0,3.72000,0.42000,-0.42000,0
Kepler-101 c,Transit,6.02976000,0.00007500,-0.00007500,0,3.78000,,,1
TOI-1685 b,Transit,0.66914030,0.00000230,-0.00000210,0,3.78000,0.63000,-0.63000,0
Kepler-102 d,Transit,10.31170000,,,0,3.80000,1.80000,-1.80000,0
Kepler-107 d,Transit,7.95839000,0.00012000,-0.00012000,0,3.80000,,,1
Kepler-60 d,Transit,11.90300000,0.00100000,-0.00100000,0,3.80000,1.10000,-1.10000,0
Kepler-93 b,Transit,4.72673978,0.00000097,-0.00000097,0,3.80000,1.50000,-1.50000,0
Kepler-138 c,Transit,13.78164000,0.00019000,-0.00014000,0,3.83000,1.51000,-1.26000,0
Kepler-36 b,Transit,13.86825000,0.00050000,-0.00050000,0,3.83000,0.11000,-0.10000,0
Kepler-60 c,Transit,8.91870000,0.00020000,-0.00020000,0,3.85000,0.81000,-0.81000,0
TOI-178 e,Transit,9.96188100,0.00004200,-0.00004200,0,3.86000,1.25000,-0.94000,0
